sigla_tribunal,julgados_2026,Meta1,Meta2A,Meta2Ant,Meta4A,Meta4B
TRE-AC,42.00,68.85,141.11,0.00,0.00,16.67
TRE-AL,78.00,19.70,133.09,0.00,0.00,6.25
TRE-AM,281.00,50.63,139.87,0.00,0.00,11.25
TRE-AP,19.00,47.50,142.29,0.00,0.00,12.50
TRE-BA,387.00,71.40,142.15,33.33,0.00,13.97
TRE-CE,108.00,79.41,142.10,0.00,0.00,7.93
TRE-DF,8.00,21.05,105.52,0.00,0.00,0.00
TRE-ES,242.00,67.79,138.28,0.00,0.00,11.76
TRE-GO,263.00,54.68,141.22,8.57,0.00,19.59
TRE-MA,214.00,61.49,141.07,66.67,0.00,16.79
TRE-MG,613.00,30.62,140.33,0.00,0.00,5.29
TRE-MS,88.00,115.79,141.79,0.00,0.00,21.21
TRE-MT,0.00,0.00,141.29,0.00,0.00,0.00
TRE-PA,291.00,52.81,142.10,0.00,0.00,18.62
TRE-PB,282.00,57.91,135.11,0.00,0.00,22.67
TRE-PE,107.00,44.03,142.03,0.00,0.00,0.00
TRE-PI,223.00,45.05,136.68,0.00,50.00,20.75
TRE-PR,397.00,92.54,142.08,0.00,0.00,24.27
TRE-RJ,66.00,12.99,132.38,0.00,0.00,0.27
TRE-RN,461.00,48.02,141.34,0.00,33.33,21.15
TRE-RO,87.00,89.69,141.88,0.00,50.00,21.67
TRE-RR,16.00,34.04,140.97,0.00,0.00,0.00
TRE-RS,591.00,51.66,141.03,12.50,0.00,3.69
TRE-SC,260.00,48.87,139.84,0.00,16.67,4.00
TRE-SE,111.00,58.42,139.19,0.00,0.00,12.33
TRE-SP,2153.00,78.43,137.36,18.18,0.00,20.78
TRE-TO,84.00,51.22,141.81,0.00,0.00,2.13
